Rk,Player,ERA,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Pos,Player-additional
1,Jordan Lyles,6.28,2023,32,KCR,AL,6,17,0.261,23,6.28,31,31,3,0,0,177.2,176,130,124,39,45,0,120,6,0,10,748,71,5.62,1.244,8.9,2,2.3,6.1,2.67,,lylesjo01
2,Lance Lynn,5.73,2023,36,CHWLAD,ALNL,13,11,0.542,24,5.73,32,32,0,0,0,183.2,189,127,117,44,67,1,191,9,0,3,808,77,5.53,1.394,9.3,2.2,3.3,9.4,2.85,,lynnla01
3,Patrick Corbin,5.2,2023,33,WSN,NL,10,15,0.4,25,5.2,32,32,0,0,0,180,210,113,104,33,57,0,124,4,0,6,790,82,5.28,1.483,10.5,1.7,2.9,6.2,2.18,,corbipa01
4,Lucas Giolito,4.88,2023,28,CHWCLELAA,AL,8,15,0.348,23,4.88,33,33,0,0,0,184.1,169,110,100,41,73,2,204,9,0,5,794,90,5.27,1.313,8.3,2,3.6,10,2.79,,giolilu01
5,Miles Mikolas,4.78,2023,34,STL,NL,9,13,0.409,22,4.78,35,35,0,0,0,201.1,226,110,107,26,39,0,137,8,0,4,860,92,4.27,1.316,10.1,1.2,1.7,6.1,3.51,,mikolmi01
6,Kyle Gibson,4.73,2023,35,BAL,AL,15,9,0.625,24,4.73,33,33,0,0,0,192,198,101,101,23,55,0,157,6,0,8,807,86,4.13,1.318,9.3,1.1,2.6,7.4,2.85,1,gibsoky01
7,Dylan Cease,4.58,2023,27,CHW,AL,7,9,0.438,16,4.58,33,33,0,0,0,177,172,98,90,19,79,3,214,9,0,14,784,97,3.72,1.418,8.7,1,4,10.9,2.71,,ceasedy01
8,Cristian Javier,4.56,2023,26,HOU,AL,10,5,0.667,15,4.56,31,31,0,0,0,162,143,85,82,25,62,0,159,7,0,4,687,93,4.58,1.265,7.9,1.4,3.4,8.8,2.56,,javiecr01
9,JP Sears,4.54,2023,27,OAK,AL,5,14,0.263,19,4.54,32,32,0,0,0,172.1,165,90,87,34,53,2,161,16,0,2,735,93,5.15,1.265,8.6,1.8,2.8,8.4,3.04,,searsjp01
10,Aaron Nola,4.46,2023,30,PHI,NL,12,9,0.571,21,4.46,32,32,0,0,0,193.2,178,105,96,32,45,0,202,1,0,2,793,96,4.03,1.151,8.3,1.5,2.1,9.4,4.49,,nolaaa01
