"player_name","pitch_count","total_pitches","CH","CU","FC","FF","FS","SI","SL","ST","SV","KC","KN","CS","PO","rank_FF","rank_SL","rank_SI","rank_CH","rank_CU","rank_FC","rank_FS","rank_ST","rank_SV","rank_KC","cluster"
"Bassitt, Chris",10,106,0.0943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,165,80.5,82.5,88.5,86,90.5,87,1
"Bassitt, Chris",13,106,0,0.122641509433962,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,171,82.5,88.5,86,90.5,87,2
"Bassitt, Chris",17,106,0,0,0.160377358490566,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,173,88.5,86,90.5,87,2
"Bassitt, Chris",3,106,0,0,0,0.0283018867924528,0,0,0,0,0,0,0,0,0,147,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Bassitt, Chris",2,106,0,0,0,0,0.0188679245283019,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,82.5,177,86,90.5,87,2
"Bassitt, Chris",49,106,0,0,0,0,0,0.462264150943396,0,0,0,0,0,0,0,73,79,181,75,80.5,82.5,88.5,86,90.5,87,4
"Bassitt, Chris",4,106,0,0,0,0,0,0,0.0377358490566038,0,0,0,0,0,0,73,160,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Bassitt, Chris",8,106,0,0,0,0,0,0,0,0.0754716981132075,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,174,90.5,87,2
"Berríos, José",19,89,0.213483146067416,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,177,80.5,82.5,88.5,86,90.5,87,1
"Berríos, José",12,89,0,0,0,0.134831460674157,0,0,0,0,0,0,0,0,0,150,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Berríos, José",38,89,0,0,0,0,0,0.426966292134831,0,0,0,0,0,0,0,73,79,180,75,80.5,82.5,88.5,86,90.5,87,4
"Berríos, José",20,89,0,0,0,0,0,0,0,0,0.224719101123595,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,181,87,2
"Bradish, Kyle",10,129,0.0775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,159,80.5,82.5,88.5,86,90.5,87,1
"Bradish, Kyle",25,129,0,0.193798449612403,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,174,82.5,88.5,86,90.5,87,2
"Bradish, Kyle",21,129,0,0,0,0.162790697674419,0,0,0,0,0,0,0,0,0,151,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Bradish, Kyle",34,129,0,0,0,0,0,0.263565891472868,0,0,0,0,0,0,0,73,79,174,75,80.5,82.5,88.5,86,90.5,87,4
"Bradish, Kyle",39,129,0,0,0,0,0,0,0.302325581395349,0,0,0,0,0,0,73,172,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Burnes, Corbin",2,66,0.0303030303030303,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,73,79,158,155,80.5,82.5,88.5,86,90.5,87,4
"Burnes, Corbin",8,66,0,0.121212121212121,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,170,82.5,88.5,86,90.5,87,2
"Burnes, Corbin",40,66,0,0,0.606060606060606,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,181,88.5,86,90.5,87,2
"Burnes, Corbin",14,66,0,0,0,0,0,0,0.212121212121212,0,0,0,0,0,0,73,166,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Castillo, Luis",18,86,0.209302325581395,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,175,80.5,82.5,88.5,86,90.5,87,1
"Castillo, Luis",46,86,0,0,0,0.534883720930233,0,0,0,0,0,0,0,0,0,175,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Castillo, Luis",5,86,0,0,0,0,0,0.0581395348837209,0,0,0,0,0,0,0,73,79,160,75,80.5,82.5,88.5,86,90.5,87,4
"Castillo, Luis",17,86,0,0,0,0,0,0,0.197674418604651,0,0,0,0,0,0,73,164,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Cease, Dylan",1,104,0.00961538461538462,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,150,80.5,82.5,88.5,86,90.5,87,1
"Cease, Dylan",52,104,0,0,0,0.5,0,0,0,0,0,0,0,0,0,173.5,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Cease, Dylan",10,104,0,0,0,0,0,0,0,0,0,0.0961538461538462,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,178,2
"Cease, Dylan",41,104,0,0,0,0,0,0,0.394230769230769,0,0,0,0,0,0,73,177,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Cole, Gerrit",9,105,0.0857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,161,80.5,82.5,88.5,86,90.5,87,1
"Cole, Gerrit",10,105,0,0,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,169,88.5,86,90.5,87,2
"Cole, Gerrit",48,105,0,0,0,0.457142857142857,0,0,0,0,0,0,0,0,0,171,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Cole, Gerrit",21,105,0,0,0,0,0,0,0,0,0,0.2,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,180,2
"Cole, Gerrit",17,105,0,0,0,0,0,0,0.161904761904762,0,0,0,0,0,0,73,163,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Corbin, Patrick",2,90,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,154,80.5,82.5,88.5,86,90.5,87,1
"Corbin, Patrick",11,90,0,0,0,0.122222222222222,0,0,0,0,0,0,0,0,0,149,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Corbin, Patrick",36,90,0,0,0,0,0,0.4,0,0,0,0,0,0,0,73,79,179,75,80.5,82.5,88.5,86,90.5,87,4
"Corbin, Patrick",41,90,0,0,0,0,0,0,0.455555555555556,0,0,0,0,0,0,73,181,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Dunning, Dane",20,141,0.141843971631206,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,167,80.5,82.5,88.5,86,90.5,87,1
"Dunning, Dane",16,141,0,0,0.113475177304965,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,171,88.5,86,90.5,87,2
"Dunning, Dane",1,141,0,0,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,146,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Dunning, Dane",3,141,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,174,2
"Dunning, Dane",39,141,0,0,0,0,0,0.276595744680851,0,0,0,0,0,0,0,73,79,175,75,80.5,82.5,88.5,86,90.5,87,4
"Dunning, Dane",62,141,0,0,0,0,0,0,0.439716312056738,0,0,0,0,0,0,73,179,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Eflin, Zach",4,65,0.0615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,158,80.5,82.5,88.5,86,90.5,87,1
"Eflin, Zach",14,65,0,0.215384615384615,0,0.215384615384615,0,0,0,0,0,0,0,0,0,153,79,77.5,75,176,82.5,88.5,86,90.5,87,2
"Eflin, Zach",11,65,0,0,0.169230769230769,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,174,88.5,86,90.5,87,2
"Eflin, Zach",13,65,0,0,0,0,0,0.2,0,0,0,0,0,0,0,73,79,171,75,80.5,82.5,88.5,86,90.5,87,4
"Eflin, Zach",9,65,0,0,0,0,0,0,0,0.138461538461538,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,176,90.5,87,2
"Elder, Bryce",15,71,0.211267605633803,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,176,80.5,82.5,88.5,86,90.5,87,1
"Elder, Bryce",7,71,0,0,0,0.0985915492957746,0,0,0,0,0,0,0,0,0,148,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Elder, Bryce",24,71,0,0,0,0,0,0.338028169014085,0,0,0,0,0,0,0,73,79,177,75,80.5,82.5,88.5,86,90.5,87,4
"Elder, Bryce",25,71,0,0,0,0,0,0,0.352112676056338,0,0,0,0,0,0,73,174,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Gallen, Zac",23,104,0.221153846153846,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,178,80.5,82.5,88.5,86,90.5,87,1
"Gallen, Zac",3,104,0,0,0.0288461538461538,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,166,88.5,86,90.5,87,2
"Gallen, Zac",57,104,0,0,0,0.548076923076923,0,0,0,0,0,0,0,0,0,176,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gallen, Zac",18,104,0,0,0,0,0,0,0,0,0,0.173076923076923,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,179,2
"Gallen, Zac",1,104,0,0,0,0,0,0.00961538461538462,0,0,0,0,0,0,0,73,79,155,75,80.5,82.5,88.5,86,90.5,87,4
"Gallen, Zac",2,104,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,73,158,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Gausman, Kevin",55,98,0,0,0,0.561224489795918,0,0,0,0,0,0,0,0,0,177,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gausman, Kevin",37,98,0,0,0,0,0.377551020408163,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,82.5,181,86,90.5,87,2
"Gausman, Kevin",6,98,0,0,0,0,0,0,0.0612244897959184,0,0,0,0,0,0,73,161,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Gibson, Kyle",15,80,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,174,80.5,82.5,88.5,86,90.5,87,1
"Gibson, Kyle",6,80,0,0.075,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,167,82.5,88.5,86,90.5,87,2
"Gibson, Kyle",10,80,0,0,0.125,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,172,88.5,86,90.5,87,2
"Gibson, Kyle",26,80,0,0,0,0.325,0,0,0,0,0,0,0,0,0,163,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gibson, Kyle",14,80,0,0,0,0,0,0.175,0,0,0,0,0,0,0,73,79,166,75,80.5,82.5,88.5,86,90.5,87,4
